,s1,s2,a,r,s_1,s_2
1213,-0.27524498105049133,0.030014922842383385,2.0,0.03657594611826986,-0.24592511355876923,0.02931988053023815
1214,-0.24592511355876923,0.02931988053023815,2.0,0.06082873212604475,-0.21745514869689941,0.028469962999224663
1215,-0.21745514869689941,0.028469962999224663,2.0,0.09264730749787585,-0.18997180461883545,0.027483338490128517
1216,-0.18997180461883545,0.027483338490128517,2.0,0.13212321670042507,-0.1635933369398117,0.02637847140431404
1217,-0.1635933369398117,0.02637847140431404,2.0,0.17898420880270174,-0.13841977715492249,0.025173557922244072
1218,-0.13841977715492249,0.025173557922244072,2.0,0.23262923899185223,-0.11453375220298767,0.023886028677225113
1219,-0.11453375220298767,0.023886028677225113,2.0,0.2921766031142871,-0.09200158715248108,0.022532159462571144
1220,-0.09200158715248108,0.022532159462571144,2.0,0.35651956472018126,-0.07087481021881104,0.021126780658960342
1221,-0.07087481021881104,0.021126780658960342,2.0,0.4243852928872308,-0.05119172856211662,0.019683079794049263
1222,-0.05119172856211662,0.019683079794049263,2.0,0.49439256915430185,-0.03297922760248184,0.01821250282227993
1223,-0.03297922760248184,0.01821250282227993,2.0,0.5651059696248133,-0.016254497691988945,0.016724728047847748
1224,-0.016254497691988945,0.016724728047847748,2.0,0.6350840153578103,-0.0010267969919368625,0.01522770058363676
1225,-0.0010267969919368625,0.01522770058363676,2.0,0.7029206408797337,0.012700915336608887,0.013727712444961071
1226,0.012700915336608887,0.013727712444961071,2.0,0.7672794030195628,0.024930443614721298,0.012229527346789837
1227,0.024930443614721298,0.012229527346789837,2.0,0.8269207090028868,0.03566695749759674,0.010736515745520592
1228,0.03566695749759674,0.010736515745520592,2.0,0.8807228529115796,0.04491777345538139,0.009250814095139503
1229,0.04491777345538139,0.009250814095139503,2.0,0.9276973232219168,0.052691251039505005,0.0077734775841236115
1230,0.052691251039505005,0.0077734775841236115,1.0,0.9606932990367265,0.05799589678645134,0.0053046466782689095
1231,0.05799589678645134,0.0053046466782689095,2.0,0.9850761478287117,0.061838287860155106,0.003842391073703766
1232,0.061838287860155106,0.003842391073703766,2.0,1.0004181645699133,0.06422357261180878,0.002385287545621395
1233,0.06422357261180878,0.002385287545621395,2.0,1.006452801951754,0.06515511870384216,0.0009315466741099954
1234,0.06515511870384216,0.0009315466741099954,2.0,1.003075770874195,0.0646342784166336,-0.0005208468064665794
1235,0.0646342784166336,-0.0005208468064665794,2.0,0.9903452895753977,0.06266027688980103,-0.001973995938897133
1236,0.06266027688980103,-0.001973995938897133,2.0,0.9684822665747812,0.05923032388091087,-0.003429954871535301
1237,0.05923032388091087,-0.003429954871535301,2.0,0.9378689444468216,0.054339732974767685,-0.0048905909061431885
1238,0.054339732974767685,-0.0048905909061431885,2.0,0.899047270082389,0.04798228666186333,-0.006357445381581783
1239,0.04798228666186333,-0.006357445381581783,2.0,0.8527155553833905,0.04015069827437401,-0.007831589318811893
1240,0.04015069827437401,-0.007831589318811893,2.0,0.799723123636974,0.030837222933769226,-0.009313475340604782
1241,0.030837222933769226,-0.009313475340604782,2.0,0.7410622608350957,0.020034437999129295,-0.01080278493463993
1242,0.020034437999129295,-0.01080278493463993,2.0,0.677856415262496,0.007736167870461941,-0.01229827105998993
1243,0.007736167870461941,-0.01229827105998993,2.0,0.6113438019305415,-0.006061429623514414,-0.013797597959637642
1244,-0.006061429623514414,-0.013797597959637642,2.0,0.5428554981721545,-0.021358614787459373,-0.015297183766961098
1245,-0.021358614787459373,-0.015297183766961098,2.0,0.4737872018087002,-0.038150668144226074,-0.0167920533567667
1246,-0.038150668144226074,-0.0167920533567667,2.0,0.40556408566199065,-0.05642636492848396,-0.01827569678425789
1247,-0.05642636492848396,-0.01827569678425789,2.0,0.3395986835595608,-0.07616633176803589,-0.019739963114261627
1248,-0.07616633176803589,-0.019739963114261627,2.0,0.27724225774835415,-0.09734131395816803,-0.02117498219013214
